ประเทศ,ปี,ต่ำกว่า_25_ปี,25_-_34_ปี,35_-_44_ปี,45_-_54_ปี,55_-_64_ปี,65_ปีขึ้นไป
กัมพูชา,2554,39719,91021,67421,43834,23490,5780
กัมพูชา,2555,60844,127708,115106,70825,41789,14266
กัมพูชา,2556,88687,135633,109180,81416,51631,20454
กัมพูชา,2557,105369,161282,116671,84078,61564,26888
กัมพูชา,2558,105324,137266,121159,86113,62795,32161
กัมพูชา,2559,145984,134056,89952,107272,110742,96830
กัมพูชา,2560,144396,247505,162140,127164,85142,85532
กัมพูชา,2561,144081,273780,199314,132792,101831,99182
กัมพูชา,2562,171083,269295,197953,122671,93397,71038
กัมพูชา,2563,27379,56872,35932,19774,14114,10199
บรูไนดารุสซาลาม,2554,933,2885,2850,2302,1006,166
บรูไนดารุสซาลาม,2555,1627,3181,3520,3219,1425,347
บรูไนดารุสซาลาม,2556,2679,3879,3958,3270,1896,499
บรูไนดารุสซาลาม,2557,1808,4191,3582,2321,1570,455
บรูไนดารุสซาลาม,2558,3736,4549,4028,2735,1777,608
บรูไนดารุสซาลาม,2559,4526,5082,3289,2679,1683,735
บรูไนดารุสซาลาม,2560,4179,5085,3435,2812,1939,799
บรูไนดารุสซาลาม,2561,3719,4922,3541,3305,2094,879
บรูไนดารุสซาลาม,2562,4171,5270,4008,3111,2271,1027
บรูไนดารุสซาลาม,2563,373,757,459,378,351,126
พม่า,2554,16859,24658,31247,21737,13201,3843
พม่า,2555,20374,26738,34868,27723,14979,5032
พม่า,2556,30013,38762,41081,35194,21237,6985
พม่า,2557,37626,45391,48819,40867,25443,9603
พม่า,2558,51240,54148,61411,52366,32186,12071
พม่า,2559,79388,98514,73287,58032,36833,17817
พม่า,2560,76303,109237,80421,62464,39127,20170
พม่า,2561,75272,106384,75933,60789,39629,21873
พม่า,2562,77269,102453,78892,64952,42976,22759
พม่า,2563,9473,15844,11077,8598,6309,3640
ฟิลิปปินส์,2554,26061,78510,72385,52354,26117,7412
ฟิลิปปินส์,2555,29845,71669,74692,59771,33706,10902
ฟิลิปปินส์,2556,35913,80336,86990,64264,35851,11686
ฟิลิปปินส์,2557,33070,86069,76841,56993,31067,12299
ฟิลิปปินส์,2558,36228,77541,78985,60746,34070,13727
ฟิลิปปินส์,2559,50443,102104,71385,49571,33219,17138
ฟิลิปปินส์,2560,50622,114005,84754,57447,34769,19621
ฟิลิปปินส์,2561,57589,130194,95798,63394,38318,22539
ฟิลิปปินส์,2562,70911,155078,105933,68271,44751,28621
ฟิลิปปินส์,2563,7452,22964,16933,10202,7098,3710
มาเลเซีย,2554,339706,587719,611152,460594,318066,174797
มาเลเซีย,2555,346774,493427,579196,483370,354470,288835
มาเลเซีย,2556,324413,403503,728838,671309,541203,361806
มาเลเซีย,2557,145750,384810,607281,599228,539204,327398
มาเลเซีย,2558,307759,559479,730387,757491,628690,423747
มาเลเซีย,2559,285029,705094,472223,857826,761752,424275
มาเลเซีย,2560,388668,772111,513536,748078,502431,568288
มาเลเซีย,2561,329691,858375,540329,873996,627539,813068
มาเลเซีย,2562,422439,924106,578333,750076,749878,849626
มาเลเซีย,2563,96590,152321,122032,108338,93674,39967
ลาว,2554,154057,209016,198533,182260,112704,38789
ลาว,2555,151665,211243,222777,197979,129615,67802
ลาว,2556,148809,168324,212101,220326,153175,82151
ลาว,2557,146244,224260,235660,223648,161849,72075
ลาว,2558,207544,282221,260033,240817,160317,79589
ลาว,2559,312928,212504,194670,284576,259718,150520
ลาว,2560,390129,460872,335099,259443,152666,94657
ลาว,2561,259332,480129,360023,286079,172223,124518
ลาว,2562,280246,539391,411800,296442,183774,145109
ลาว,2563,58795,109855,93459,59233,39297,21607
สิงคโปร์,2554,98839,209107,218688,154636,81200,26869
สิงคโปร์,2555,131541,255114,264707,197627,107620,38022
สิงคโปร์,2556,136020,283585,295113,204827,112722,35019
สิงคโปร์,2557,114533,277732,237908,189540,103605,37146
สิงคโปร์,2558,164801,246017,261964,220208,129863,51902
สิงคโปร์,2559,188005,322793,243992,207236,139752,61531
สิงคโปร์,2560,215076,295008,277058,239411,152684,80286
สิงคโปร์,2561,186935,270407,252168,221315,153799,83488
สิงคโปร์,2562,208544,253622,244883,211412,148950,82613
สิงคโปร์,2563,18403,32018,28108,23269,20015,10698
อินโดนีเซีย,2554,41400,103242,108469,71011,34264,12295
อินโดนีเซีย,2555,56872,112401,127377,88546,45696,18468
อินโดนีเซีย,2556,75768,147443,173467,115380,59549,23408
อินโดนีเซีย,2557,58707,134937,128362,97594,54987,21075
อินโดนีเซีย,2558,69329,110286,118180,96334,52945,23746
อินโดนีเซีย,2559,117563,144510,105548,98740,61394,30744
อินโดนีเซีย,2560,117948,159642,122269,99670,60949,33582
อินโดนีเซีย,2561,121938,170612,132406,111565,67163,40795
อินโดนีเซีย,2562,138057,189289,144062,111423,78857,45220
อินโดนีเซีย,2563,19476,29007,20595,15232,8812,3871
เวียดนาม,2554,68757,164001,144318,85858,41042,10825
เวียดนาม,2555,90370,178505,182954,114851,55169,15498
เวียดนาม,2556,98948,191497,223126,132376,74317,20424
เวียดนาม,2557,91585,181468,162646,82732,43417,11336
เวียดนาม,2558,129167,227218,204943,117926,69554,18835
เวียดนาม,2559,215640,270653,139303,107187,85477,45547
เวียดนาม,2560,217673,341098,195204,118590,80438,32692
เวียดนาม,2561,220518,348305,208113,131110,96258,49419
เวียดนาม,2562,222579,359659,217111,140024,97277,43959
เวียดนาม,2563,25919,45778,26033,16899,11689,4990
