ประเทศ,ปี,ค่าใช้จ่าย_บาทต่อวัน,ค่าใช้จ่าย_ดอลลาร์สหรัฐต่อวัน
กัมพูชา,2554,3798.4,124.58
กัมพูชา,2555,3902.57,125.57
กัมพูชา,2556,3985.82,129.7
กัมพูชา,2557,4232.47,130.3100369
กัมพูชา,2558,4559.05,133.1109489
กัมพูชา,2559,4712.81,133.5073654
กัมพูชา,2560,5475.49,161.3285209
กัมพูชา,2561,5668.88,175.45
กัมพูชา,2562,5743.24,184.97
กัมพูชา,2563,6111.77,195.26
บรูไนดารุสซาลาม,2554,4735.01,155.3
บรูไนดารุสซาลาม,2555,4921.82,158.36
บรูไนดารุสซาลาม,2556,5253.38,170.95
บรูไนดารุสซาลาม,2557,5714.61,175.9424261
บรูไนดารุสซาลาม,2558,5819.71,169.9185401
บรูไนดารุสซาลาม,2559,6126.67,173.5600567
บรูไนดารุสซาลาม,2560,6681.82,196.871538
บรูไนดารุสซาลาม,2561,6864.64,212.46
บรูไนดารุสซาลาม,2562,6741.42,217.11
บรูไนดารุสซาลาม,2563,6649.65,212.45
พม่า,2554,3935.37,129.07
พม่า,2555,4215.8,135.64
พม่า,2556,4369.42,142.19
พม่า,2557,4714.25,145.143165
พม่า,2558,4988.37,145.6458394
พม่า,2559,5168.42,146.4141643
พม่า,2560,5714.45,168.3691809
พม่า,2561,5976.51,184.97
พม่า,2562,5765.97,185.7
พม่า,2563,2305.5,73.66
ฟิลิปปินส์,2554,4296.49,140.91
ฟิลิปปินส์,2555,4446.96,143.08
ฟิลิปปินส์,2556,4628.42,150.62
ฟิลิปปินส์,2557,4755.75,146.4208744
ฟิลิปปินส์,2558,4905.93,143.2388321
ฟิลิปปินส์,2559,4977.22,140.9977337
ฟิลิปปินส์,2560,5023.72,148.0176783
ฟิลิปปินส์,2561,5076.34,157.11
ฟิลิปปินส์,2562,4788.66,154.22
ฟิลิปปินส์,2563,2817.53,90.02
มาเลเซีย,2554,4180.24,137.1
มาเลเซีย,2555,4437.38,142.77
มาเลเซีย,2556,4737.05,154.15
มาเลเซีย,2557,5052.68,155.5628079
มาเลเซีย,2558,5240.74,153.0143066
มาเลเซีย,2559,5373.5,152.223796
มาเลเซีย,2560,5506.8,162.2510312
มาเลเซีย,2561,5341.64,165.32
มาเลเซีย,2562,5226.5,168.33
มาเลเซีย,2563,3017.45,96.4
ลาว,2554,3109.55,101.99
ลาว,2555,3298.17,106.12
ลาว,2556,3549.45,115.5
ลาว,2557,3885.81,119.6370074
ลาว,2558,4267.36,124.5944526
ลาว,2559,4469.24,126.6073654
ลาว,2560,5204.85,153.354449
ลาว,2561,5381.86,166.57
ลาว,2562,5502.86,177.23
ลาว,2563,3769.2,120.42
สิงคโปร์,2554,4907.53,160.96
สิงคโปร์,2555,5102.86,164.18
สิงคโปร์,2556,5389.38,175.38
สิงคโปร์,2557,5800.27,178.5797414
สิงคโปร์,2558,6136.3,179.1620438
สิงคโปร์,2559,6236.49,176.6711048
สิงคโปร์,2560,6393.12,188.3653506
สิงคโปร์,2561,6363.42,196.95
สิงคโปร์,2562,6185.74,199.22
สิงคโปร์,2563,4797.57,153.28
อินโดนีเซีย,2554,4499.84,147.58
อินโดนีเซีย,2555,4731.24,152.23
อินโดนีเซีย,2556,4925.51,160.28
อินโดนีเซีย,2557,5145.2,158.41133
อินโดนีเซีย,2558,5286.42,154.3480292
อินโดนีเซีย,2559,5296.41,150.0399433
อินโดนีเซีย,2560,5161.43,152.0751326
อินโดนีเซีย,2561,4736.38,146.59
อินโดนีเซีย,2562,4566.01,147.05
อินโดนีเซีย,2563,3875.3,123.81
เวียดนาม,2554,4034.7,132.33
เวียดนาม,2555,4244.22,136.56
เวียดนาม,2556,4436.06,144.36
เวียดนาม,2557,4788.09,147.416564
เวียดนาม,2558,5023.23,146.6636496
เวียดนาม,2559,5123.61,145.1447592
เวียดนาม,2560,5205.05,153.3603418
เวียดนาม,2561,5087.74,157.47
เวียดนาม,2562,4842.23,155.95
เวียดนาม,2563,3732.22,119.24
