ประเทศ,ปี,เที่ยวบินแบบประจำ,เที่ยวบินแบบเช่าเหมาลำ
กัมพูชา,2562,319040,20279
กัมพูชา,2563,46181,5846
บรูไนดารุสซาลาม,2562,17545,1339
บรูไนดารุสซาลาม,2563,2051,245
พม่า,2562,346439,34658
พม่า,2563,48168,6353
ฟิลิปปินส์,2562,401360,26005
ฟิลิปปินส์,2563,54512,9582
มาเลเซีย,2562,1238448,119526
มาเลเซีย,2563,159634,16977
ลาว,2562,75532,5695
ลาว,2563,12483,1761
สิงคโปร์,2562,1022767,92337
สิงคโปร์,2563,112769,15540
อินโดนีเซีย,2562,594086,20233
อินโดนีเซีย,2563,78484,5088
เวียดนาม,2562,753137,100420
เวียดนาม,2563,92019,13676
