ประเทศ,ปี,การกีฬา,การขนส่ง,การจ้างแรงงาน,การศึกษา,งานแสดงสินค้า/นิทรรศการ,ทางการแพทย์,ท่องเที่ยว,ธุรกิจ,ประชุมของสมาคม,ประชุมของหน่วยงาน,ประชุมเชิงธุรกิจ,อื่น_ๆ
กัมพูชา,2554,0,0,0,0,4050,0,123919,0,38128,26846,43574,34748
กัมพูชา,2555,0,0,0,0,1471,0,292795,0,2558,42669,406,90639
กัมพูชา,2556,0,0,0,0,2006,0,350068,0,2013,37571,930,94413
กัมพูชา,2557,0,0,0,0,1931,0,400125,0,1961,39280,1284,111271
กัมพูชา,2558,0,0,0,0,1921,0,412702,0,1174,31528,597,96896
กัมพูชา,2559,0,3598,303,1774,180,0,651321,3091,240,6284,312,17733
กัมพูชา,2560,0,5085,633,3161,1126,0,792488,10055,859,8894,1567,28011
กัมพูชา,2561,2559,4793,0,6108,1971,8701,862702,22347,1414,9211,1149,30025
กัมพูชา,2562,10861,0,0,9788,1531,28010,792313,12729,963,12669,1448,55125
กัมพูชา,2563,1949,0,0,1664,242,6596,146245,1264,106,1542,49,4613
บรูไนดารุสซาลาม,2554,0,0,0,0,16,0,5273,0,803,1615,1468,967
บรูไนดารุสซาลาม,2555,0,0,0,0,8,0,11216,0,183,558,0,1354
บรูไนดารุสซาลาม,2556,0,0,0,0,70,0,13897,0,134,531,27,1522
บรูไนดารุสซาลาม,2557,0,0,0,0,55,0,11608,0,86,685,18,1475
บรูไนดารุสซาลาม,2558,0,0,0,0,93,0,15081,0,177,652,12,1418
บรูไนดารุสซาลาม,2559,0,477,39,250,34,0,15813,369,98,450,7,457
บรูไนดารุสซาลาม,2560,0,440,49,290,62,0,15685,416,129,438,21,719
บรูไนดารุสซาลาม,2561,218,243,0,173,85,81,16147,639,93,475,1,305
บรูไนดารุสซาลาม,2562,452,0,0,205,106,130,16858,437,147,818,7,698
บรูไนดารุสซาลาม,2563,64,0,0,37,9,2,2178,46,4,67,0,37
พม่า,2554,0,0,0,0,439,0,50806,0,4868,12494,29471,13467
พม่า,2555,0,0,0,0,556,0,76616,0,457,6782,154,45149
พม่า,2556,0,0,0,0,1220,0,105177,0,858,8645,443,56929
พม่า,2557,0,0,0,0,876,0,125681,0,1363,11460,276,68093
พม่า,2558,0,0,0,0,1243,0,185984,0,1302,11602,569,62722
พม่า,2559,0,7115,2338,6609,917,0,280779,13419,1270,8961,397,42066
พม่า,2560,0,6654,2475,8573,1421,0,298092,14009,810,9628,814,45246
พม่า,2561,1291,7173,0,7647,1524,8568,298289,19253,1058,9468,1131,24478
พม่า,2562,5192,0,0,6874,1482,24561,296838,10682,1014,9974,1015,31669
พม่า,2563,589,0,0,1162,212,5189,43631,1109,99,760,51,2139
ฟิลิปปินส์,2554,0,0,0,0,1654,0,125978,0,43568,29612,42465,19562
ฟิลิปปินส์,2555,0,0,0,0,660,0,216327,0,9801,9426,798,43573
ฟิลิปปินส์,2556,0,0,0,0,1589,0,243034,0,6141,8772,785,54719
ฟิลิปปินส์,2557,0,0,0,0,2856,0,234023,0,4754,8719,1056,44931
ฟิลิปปินส์,2558,0,0,0,0,2172,0,227597,0,9961,10338,1839,49390
ฟิลิปปินส์,2559,0,7269,11660,4145,425,0,254053,12684,8930,6887,1742,16065
ฟิลิปปินส์,2560,0,9102,13656,5029,998,0,270847,15070,12021,7560,3237,23698
ฟิลิปปินส์,2561,2226,6994,0,4633,1505,844,328904,17691,7168,6821,4974,26072
ฟิลิปปินส์,2562,8091,0,0,5411,2359,1042,366337,15425,11639,9583,6221,47457
ฟิลิปปินส์,2563,964,0,0,731,233,208,59639,1221,315,534,330,4184
มาเลเซีย,2554,0,0,0,0,4691,0,1323271,0,99155,491436,391750,181731
มาเลเซีย,2555,0,0,0,0,4310,0,2345595,0,7089,50142,1056,137880
มาเลเซีย,2556,0,0,0,0,6010,0,2788373,0,6272,64805,3007,162605
มาเลเซีย,2557,0,0,0,0,3006,0,2438091,0,2787,42891,2091,114805
มาเลเซีย,2558,0,0,0,0,11023,0,3136406,0,10563,72607,4900,172054
มาเลเซีย,2559,0,8044,6853,4204,2790,0,3398725,43939,3882,26287,844,10631
มาเลเซีย,2560,0,11517,10166,12536,6018,0,3334973,52493,6549,36931,8749,13180
มาเลเซีย,2561,9571,12387,0,8919,8781,2286,3857884,65264,7234,43434,3484,23754
มาเลเซีย,2562,29817,0,0,8840,6608,3902,4060505,66579,8697,47327,3987,38196
มาเลเซีย,2563,1870,0,0,1238,589,534,589548,8258,965,5250,322,4348
ลาว,2554,0,0,0,0,13568,0,364365,0,161516,157653,105944,92313
ลาว,2555,0,0,0,0,5675,0,760447,0,5617,58627,1936,148779
ลาว,2556,0,0,0,0,818,0,778251,0,2036,43822,912,159047
ลาว,2557,0,0,0,0,969,0,907908,0,2380,31983,469,120027
ลาว,2558,0,0,0,0,7093,0,1054755,0,2627,45498,680,119868
ลาว,2559,0,10219,8147,1285,12,0,1352526,1349,77,1460,12,39829
ลาว,2560,0,31488,3530,7677,2074,0,1565226,4484,358,2716,2851,72462
ลาว,2561,1809,12172,0,4378,2326,6370,1569825,38168,2310,5139,2426,37381
ลาว,2562,4399,0,0,10259,3508,19567,1713062,41534,1812,8824,2327,51470
ลาว,2563,1931,0,0,1959,1985,3880,363662,2203,253,1955,625,3793
สิงคโปร์,2554,0,0,0,0,1228,0,361198,0,63562,186174,114092,63085
สิงคโปร์,2555,0,0,0,0,1401,0,839540,0,3353,25688,624,124025
