ประเทศ,ปี,นักท่องเที่ยว_คน
กัมพูชา,2554,271265
กัมพูชา,2555,430538
กัมพูชา,2556,487001
กัมพูชา,2557,555852
กัมพูชา,2558,544818
กัมพูชา,2559,684836
กัมพูชา,2560,851879
กัมพูชา,2561,950980
กัมพูชา,2562,925437
กัมพูชา,2563,164270
กัมพูชา,2564,4914
กัมพูชา,2565,464141
กัมพูชา,2566,583708
กัมพูชา,2567,553060
บรูไนดารุสซาลาม,2554,10142
บรูไนดารุสซาลาม,2555,13319
บรูไนดารุสซาลาม,2556,16181
บรูไนดารุสซาลาม,2557,13927
บรูไนดารุสซาลาม,2558,17433
บรูไนดารุสซาลาม,2559,17994
บรูไนดารุสซาลาม,2560,18249
บรูไนดารุสซาลาม,2561,18460
บรูไนดารุสซาลาม,2562,19858
บรูไนดารุสซาลาม,2563,2444
บรูไนดารุสซาลาม,2564,26
บรูไนดารุสซาลาม,2565,5794
บรูไนดารุสซาลาม,2566,14134
บรูไนดารุสซาลาม,2567,16188
พม่า,2554,111545
พม่า,2555,129714
พม่า,2556,173272
พม่า,2557,207749
พม่า,2558,263422
พม่า,2559,363871
พม่า,2560,387722
พม่า,2561,379880
พม่า,2562,389301
พม่า,2563,54941
พม่า,2564,7256
พม่า,2565,211925
พม่า,2566,394134
พม่า,2567,546629
ฟิลิปปินส์,2554,262839
ฟิลิปปินส์,2555,280585
ฟิลิปปินส์,2556,315040
ฟิลิปปินส์,2557,296339
ฟิลิปปินส์,2558,301297
ฟิลิปปินส์,2559,323860
ฟิลิปปินส์,2560,361218
ฟิลิปปินส์,2561,407832
ฟิลิปปินส์,2562,473565
ฟิลิปปินส์,2563,68359
ฟิลิปปินส์,2564,4078
ฟิลิปปินส์,2565,168970
ฟิลิปปินส์,2566,461251
ฟิลิปปินส์,2567,598124
มาเลเซีย,2554,2492034
มาเลเซีย,2555,2546072
มาเลเซีย,2556,3031072
มาเลเซีย,2557,2603671
มาเลเซีย,2558,3407553
มาเลเซีย,2559,3506199
มาเลเซีย,2560,3493112
มาเลเซีย,2561,4042998
มาเลเซีย,2562,4274458
มาเลเซีย,2563,612922
มาเลเซีย,2564,5511
มาเลเซีย,2565,1949530
มาเลเซีย,2566,4626422
มาเลเซีย,2567,4952078
ลาว,2554,895359
ลาว,2555,981081
ลาว,2556,984886
ลาว,2557,1063736
ลาว,2558,1230521
ลาว,2559,1414916
ลาว,2560,1692866
ลาว,2561,1682304
ลาว,2562,1856762
ลาว,2563,382246
ลาว,2564,733
ลาว,2565,487215
ลาว,2566,919401
ลาว,2567,1124202
สิงคโปร์,2554,789339
สิงคโปร์,2555,994631
สิงคโปร์,2556,1067286
สิงคโปร์,2557,960464
สิงคโปร์,2558,1074755
สิงคโปร์,2559,1163309
สิงคโปร์,2560,1259523
สิงคโปร์,2561,1168112
สิงคโปร์,2562,1150024
สิงคโปร์,2563,132511
สิงคโปร์,2564,5931
สิงคโปร์,2565,610169
สิงคโปร์,2566,1027424
สิงคโปร์,2567,1009640
อินโดนีเซีย,2554,370681
อินโดนีเซีย,2555,449360
อินโดนีเซีย,2556,595015
อินโดนีเซีย,2557,495662
อินโดนีเซีย,2558,470820
อินโดนีเซีย,2559,558499
อินโดนีเซีย,2560,594060
อินโดนีเซีย,2561,644479
อินโดนีเซีย,2562,706908
อินโดนีเซีย,2563,96993
อินโดนีเซีย,2564,2577
อินโดนีเซีย,2565,231747
อินโดนีเซีย,2566,762118
อินโดนีเซีย,2567,876610
เวียดนาม,2554,514801
เวียดนาม,2555,637347
เวียดนาม,2556,740688
เวียดนาม,2557,573184
เวียดนาม,2558,767643
เวียดนาม,2559,863807
เวียดนาม,2560,985695
เวียดนาม,2561,1053723
เวียดนาม,2562,1080609
เวียดนาม,2563,131308
เวียดนาม,2564,1794
เวียดนาม,2565,458789
เวียดนาม,2566,1033688
เวียดนาม,2567,984248
