ประเทศ,ปี,บ้านพักเยาวชน,บ้านเพื่อน,อพาร์ทเมนท์,โรงแรม,อื่นๆ
กัมพูชา,2554,1402,11733,13616,190518,31467
กัมพูชา,2555,901,9966,14518,368631,25729
กัมพูชา,2556,1420,12041,18209,407786,31667
กัมพูชา,2557,1596,13072,14560,470496,41284
กัมพูชา,2558,5608,971,8849,491269,29701
กัมพูชา,2559,552,12448,4098,645726,16178
กัมพูชา,2560,7537,10134,11093,776697,33231
กัมพูชา,2561,15565,32377,21439,813126,46953
กัมพูชา,2562,17719,31788,23238,782763,34230
กัมพูชา,2563,5703,12201,10230,121643,9009
บรูไนดารุสซาลาม,2554,13,179,351,9311,272
บรูไนดารุสซาลาม,2555,27,221,342,12325,361
บรูไนดารุสซาลาม,2556,26,265,554,14918,318
บรูไนดารุสซาลาม,2557,72,156,288,13044,306
บรูไนดารุสซาลาม,2558,230,72,530,15930,586
บรูไนดารุสซาลาม,2559,76,287,674,16409,449
บรูไนดารุสซาลาม,2560,295,401,962,15553,757
บรูไนดารุสซาลาม,2561,304,440,698,16045,758
บรูไนดารุสซาลาม,2562,304,545,802,17361,529
บรูไนดารุสซาลาม,2563,43,82,78,2159,66
พม่า,2554,838,4875,15474,77530,9674
พม่า,2555,381,4670,14606,98062,9425
พม่า,2556,316,4722,16163,136718,12746
พม่า,2557,356,4761,21802,164775,13577
พม่า,2558,5260,787,18431,220921,14495
พม่า,2559,885,10015,25142,300520,22449
พม่า,2560,14035,14272,28684,293877,23532
พม่า,2561,16864,16179,25897,280396,24158
พม่า,2562,5853,10031,24841,322938,18580
พม่า,2563,843,3192,3154,44778,2006
ฟิลิปปินส์,2554,1050,14553,23977,199161,16678
ฟิลิปปินส์,2555,1015,10917,18744,232626,9591
ฟิลิปปินส์,2556,1098,9623,19418,266565,10779
ฟิลิปปินส์,2557,1370,8862,21163,247990,10872
ฟิลิปปินส์,2558,9118,2250,20441,253093,11669
ฟิลิปปินส์,2559,3029,10132,19783,273251,12083
ฟิลิปปินส์,2560,9023,14438,27145,283065,17731
ฟิลิปปินส์,2561,12206,16361,26864,319620,21337
ฟิลิปปินส์,2562,16693,13950,25705,386112,15266
ฟิลิปปินส์,2563,2455,3638,4295,53034,2410
มาเลเซีย,2554,6732,72244,74572,2247408,59623
มาเลเซีย,2555,4091,26948,54835,2415119,26986
มาเลเซีย,2556,2572,23552,50313,2915820,26360
มาเลเซีย,2557,1753,17934,48805,2509774,16595
มาเลเซีย,2558,29684,7707,70135,3237624,41697
มาเลเซีย,2559,12871,50444,95991,3302441,16722
มาเลเซีย,2560,92259,89858,109608,3066689,41190
มาเลเซีย,2561,117324,87753,69956,3620825,50266
มาเลเซีย,2562,125287,43196,48189,3931940,36960
มาเลเซีย,2563,4339,16195,7327,570758,5160
ลาว,2554,1814,36082,25178,560412,232494
ลาว,2555,2966,49399,46493,672312,143328
ลาว,2556,2933,32892,34063,704989,142052
ลาว,2557,1807,28069,39441,852053,85027
ลาว,2558,15300,1120,24191,1132579,44666
ลาว,2559,2554,24908,31182,1207082,109273
ลาว,2560,7609,60624,30165,1371608,181305
ลาว,2561,13039,99210,129128,1190519,196958
ลาว,2562,15020,121051,128402,1378568,141159
ลาว,2563,3926,24855,24458,262450,41727
สิงคโปร์,2554,4989,23345,34395,692157,27860
สิงคโปร์,2555,2637,19835,30139,916828,19866
สิงคโปร์,2556,1863,12790,22870,1011827,12583
สิงคโปร์,2557,2062,12976,25484,901915,13183
สิงคโปร์,2558,18271,3689,40899,986316,18986
สิงคโปร์,2559,4370,23678,49253,1054021,24941
สิงคโปร์,2560,20050,34508,62490,1084007,33306
สิงคโปร์,2561,27544,38914,43453,992452,36134
สิงคโปร์,2562,14439,25018,41693,1032918,22211
สิงคโปร์,2563,1955,7733,5875,112001,3035
อินโดนีเซีย,2554,1272,5838,13025,339641,6858
อินโดนีเซีย,2555,1682,4547,10247,421029,7714
อินโดนีเซีย,2556,1859,5029,12179,563311,8401
อินโดนีเซีย,2557,2195,4189,11911,465764,8313
อินโดนีเซีย,2558,4565,1908,11739,440819,9035
อินโดนีเซีย,2559,5456,6147,14755,515548,10219
อินโดนีเซีย,2560,26957,16805,25375,490258,13309
อินโดนีเซีย,2561,32329,20131,24173,528854,14959
อินโดนีเซีย,2562,19483,11788,24371,622180,13648
อินโดนีเซีย,2563,1989,3502,2826,85387,1604
เวียดนาม,2554,2089,17457,18550,443956,21458
เวียดนาม,2555,1874,19014,19435,573272,16237
เวียดนาม,2556,2513,11124,16965,685261,17390
เวียดนาม,2557,2871,13081,18568,517117,14761
เวียดนาม,2558,11150,2978,14606,720105,13475
เวียดนาม,2559,8309,17108,12068,804090,12986
เวียดนาม,2560,31423,15938,20275,882592,18300
เวียดนาม,2561,37695,25470,26387,914058,22920
เวียดนาม,2562,28854,30135,33916,934139,27478
เวียดนาม,2563,4581,5931,5583,107442,4219
