ประเทศ,ปี,การรักษาพยาบาล,ค่าซื้อสินค้าที่ระลึก,ค่าบริการท่องเที่ยว,ค่าพาหนะในการเดินทาง,ค่าอาหารและเครื่องดื่ม,ค่าใช้จ่ายเพื่อการบันเทิง,เบ็ดเตล็ด
กัมพูชา,2554,0,953.65,92.88,396.31,704.61,568.26,52.48
กัมพูชา,2555,0,970.47,96.46,410.2,732.45,573.24,46.72
กัมพูชา,2556,0,998.9,91.62,423.83,783.4,543.35,44.96
กัมพูชา,2557,0,1109.1,93.35,444.95,831.38,543.58,46.06
กัมพูชา,2558,0,1267.8,100.49,457.45,887.52,599.22,48.98
กัมพูชา,2559,0,1388.9,101.04,475.19,938.45,625.88,52.22
กัมพูชา,2560,0,1717.59,112.01,482.84,1082.33,882.23,51.2
กัมพูชา,2561,876.78,1826.65,103.66,453.41,1068.78,200.44,52.92
กัมพูชา,2562,919.12,1883.9,105.61,441.8,1043.43,217.44,49.35
กัมพูชา,2563,1061.19,1763.34,63.18,442.26,1384.3,201.68,85.04
บรูไนดารุสซาลาม,2554,0,1351.84,160.14,473.11,785.74,404.26,119
บรูไนดารุสซาลาม,2555,0,1426.04,175.97,495.04,832.34,430.5,117.15
บรูไนดารุสซาลาม,2556,0,1581.77,176.59,512.73,891.56,470.53,84.98
บรูไนดารุสซาลาม,2557,0,1798.96,198.54,527.81,972.06,501.29,83.57
บรูไนดารุสซาลาม,2558,0,1860.38,193.06,523.72,975.24,503.25,72.2
บรูไนดารุสซาลาม,2559,0,2007.28,199.6,527.14,1018.41,550.83,78.98
บรูไนดารุสซาลาม,2560,0,2246.26,166.46,568.8,1163.52,538.45,95.93
บรูไนดารุสซาลาม,2561,90.56,2387.43,165.11,531.97,1255.52,465.86,102.9
บรูไนดารุสซาลาม,2562,78.46,2288.41,165.27,508.64,1290.89,436.96,114.48
บรูไนดารุสซาลาม,2563,17.52,2308.11,156.05,563.29,1259.15,457.8,156.05
พม่า,2554,0,1210.85,103.21,408.83,658.45,442.43,65.09
พม่า,2555,0,1328.88,110.22,428.48,706.33,488.65,62.9
พม่า,2556,0,1393.3,107.75,430.79,746.1,494.87,61.47
พม่า,2557,0,1563.47,105.75,449.36,791.06,555.54,63.22
พม่า,2558,0,1696.74,98.44,457.66,833.8,590.36,55.32
พม่า,2559,0,1772.55,99.77,449.18,869.49,659.05,53.75
พม่า,2560,0,2068.75,92.87,429.52,891.03,894.35,57.18
พม่า,2561,828.42,2207.47,93.92,431.49,913.12,220.68,65.3
พม่า,2562,756.49,2009.5,93.75,408.87,915.73,253.26,63.57
พม่า,2563,290.77,707.88,24.81,178.95,400.33,40.03,23.82
ฟิลิปปินส์,2554,0,1230.01,148.62,500.51,677.3,398.9,75.03
ฟิลิปปินส์,2555,0,1272.95,157.45,511.02,716.53,425.05,75.45
ฟิลิปปินส์,2556,0,1356.83,169.01,525.25,750.36,422.9,69.46
ฟิลิปปินส์,2557,0,1381.88,161.44,534.35,778.55,405.29,68.65
ฟิลิปปินส์,2558,0,1440.94,157.84,539.21,839.64,404.51,63.52
ฟิลิปปินส์,2559,0,1423.57,161.54,530.25,887.61,395.04,72.31
ฟิลิปปินส์,2560,0,1510.59,157.8,507.08,944.04,346.99,84.39
ฟิลิปปินส์,2561,44.64,1504.09,154.59,454.31,945.1,300.99,83.36
ฟิลิปปินส์,2562,56.36,1351.75,148.3,433.41,936.89,295.59,83.88
ฟิลิปปินส์,2563,256.12,652.32,71.45,312.69,555.39,118.11,50.21
มาเลเซีย,2554,0,1164.08,158.82,349.62,721.5,421.15,81.64
มาเลเซีย,2555,0,1276,169.84,360.09,760.68,462.42,83.17
มาเลเซีย,2556,0,1391.19,183.62,377.02,808.39,499.68,78.31
มาเลเซีย,2557,0,1547.78,202.48,393,880.8,548.33,80.37
มาเลเซีย,2558,0,1652.49,184.36,403.3,908.47,547.24,89.33
มาเลเซีย,2559,0,1757.96,175.27,427.53,936.54,558.65,79.7
มาเลเซีย,2560,0,1815.3,166.27,416.48,1015.56,528.54,89.5
มาเลเซีย,2561,47.65,1698.28,153.34,410.98,1026.6,452.31,87.54
มาเลเซีย,2562,51.34,1666.77,145.17,406.63,1039.95,425.87,74.24
มาเลเซีย,2563,25.81,632.35,44.65,223.41,679.22,148.06,32.33
ลาว,2554,0,904,76.73,361.93,559.25,280.26,39.68
ลาว,2555,0,968.13,77.31,383.76,610.17,301.6,40.43
ลาว,2556,0,1061.05,75.37,407.92,662.04,332.36,40.84
ลาว,2557,0,1203.99,78.28,414.33,718.98,376.61,45.44
ลาว,2558,0,1385.07,82.73,400.17,790.05,429.3,48.7
ลาว,2559,0,1499.09,72.07,419.49,853.05,442.05,46.81
ลาว,2560,0,1943.63,71.63,423.91,965.93,530.13,40.05
ลาว,2561,314.69,1941.42,73.52,425.74,1036.33,298.44,39.52
ลาว,2562,388.08,2021.96,81.07,398.54,1071.12,292.06,37.38
ลาว,2563,436.55,1218.59,40.21,247.61,741.98,164.43,25.57
สิงคโปร์,2554,0,1472.14,131.74,418.86,848.03,502.08,60.63
สิงคโปร์,2555,0,1560.87,133.16,430.8,877.52,517.45,64.06
สิงคโปร์,2556,0,1657.86,141.2,441.39,952.5,540.64,58.96
สิงคโปร์,2557,0,1841.34,160.3,458.73,1027.79,580.95,72.4
สิงคโปร์,2558,0,1944.41,137.93,484.85,1097.35,627.35,71.55
สิงคโปร์,2559,0,1935.59,137.03,498.27,1176.5,639.49,78.51
สิงคโปร์,2560,0,1860.68,116.27,476.65,1372.51,653.8,99.13
สิงคโปร์,2561,15.26,1862.44,114.41,458.76,1405,610.15,113.44
สิงคโปร์,2562,27,1713.63,123.14,457.34,1413.75,566.65,109.43
สิงคโปร์,2563,13.63,1083.06,85.36,516.57,1112.45,374.34,104.13
อินโดนีเซีย,2554,0,1279.91,170.88,432.62,724.66,383.55,75.96
อินโดนีเซีย,2555,0,1357.42,188.06,450.91,761.98,416.44,80.56
อินโดนีเซีย,2556,0,1456.64,191.21,472.22,798.73,397.81,74.87
อินโดนีเซีย,2557,0,1595.95,191.11,485.34,833.86,391.64,69.87
อินโดนีเซีย,2558,0,1678.72,194.09,496.51,892.17,369.18,61.38
อินโดนีเซีย,2559,0,1696.95,189.77,502.35,918.81,328.67,61.62
อินโดนีเซีย,2560,0,1636.63,187.17,486.68,901.31,282.28,65.02
อินโดนีเซีย,2561,38.83,1475.92,160.96,447.06,905.97,203.62,61.84
อินโดนีเซีย,2562,45.27,1397.1,154.72,434.47,912.09,186.7,59.58
อินโดนีเซีย,2563,13.28,1102.48,88.53,468.92,789.77,71.77,46.32
เวียดนาม,2554,0,1257.58,145.72,364.1,682.5,398.01,79.98
เวียดนาม,2555,0,1309.68,160.88,385.39,716.79,425.03,81.9
เวียดนาม,2556,0,1367.78,156.39,400.24,769.36,430.78,66.59
เวียดนาม,2557,0,1540.85,139.84,417.85,841.28,448.21,59.99
เวียดนาม,2558,0,1664.52,144.76,433.43,904.3,437.34,64.32
เวียดนาม,2559,0,1741.16,146.58,447.71,967.18,434.01,71.76
เวียดนาม,2560,0,1857.89,149.81,444.97,1042.06,384.14,77.56
เวียดนาม,2561,53.46,1729.02,137.98,435.45,1104.68,343.73,78.27
เวียดนาม,2562,77.35,1591.58,133.49,415.64,1016.32,346.79,69.32
เวียดนาม,2563,77.78,991.38,115.48,335.26,904.05,130.64,59.01
