ประเทศ,ปี,เดินทางซ้ำ,เดินทางมาครั้งแรก
กัมพูชา,2554,243080,28185
กัมพูชา,2555,376633,53905
กัมพูชา,2556,421633,65368
กัมพูชา,2557,488996,66856
กัมพูชา,2558,441085,103733
กัมพูชา,2559,457783,227053
กัมพูชา,2560,719220,132659
กัมพูชา,2561,824835,126145
กัมพูชา,2562,831592,93845
กัมพูชา,2563,151095,13175
บรูไนดารุสซาลาม,2554,8575,1567
บรูไนดารุสซาลาม,2555,10567,2752
บรูไนดารุสซาลาม,2556,12331,3850
บรูไนดารุสซาลาม,2557,10779,3148
บรูไนดารุสซาลาม,2558,12925,4508
บรูไนดารุสซาลาม,2559,13728,4266
บรูไนดารุสซาลาม,2560,13971,4278
บรูไนดารุสซาลาม,2561,14796,3664
บรูไนดารุสซาลาม,2562,15862,3996
บรูไนดารุสซาลาม,2563,2028,416
พม่า,2554,91353,20192
พม่า,2555,104917,24797
พม่า,2556,137469,35803
พม่า,2557,172072,35677
พม่า,2558,198440,64982
พม่า,2559,301329,62542
พม่า,2560,325613,62109
พม่า,2561,316591,63289
พม่า,2562,329474,59827
พม่า,2563,47786,7155
ฟิลิปปินส์,2554,177675,85164
ฟิลิปปินส์,2555,180895,99690
ฟิลิปปินส์,2556,200105,114935
ฟิลิปปินส์,2557,197953,98386
ฟิลิปปินส์,2558,198830,102467
ฟิลิปปินส์,2559,216080,107780
ฟิลิปปินส์,2560,233734,127484
ฟิลิปปินส์,2561,275706,132126
ฟิลิปปินส์,2562,298252,175313
ฟิลิปปินส์,2563,45639,22720
มาเลเซีย,2554,1614562,877472
มาเลเซีย,2555,1596340,949732
มาเลเซีย,2556,1818670,1212402
มาเลเซีย,2557,1537339,1066332
มาเลเซีย,2558,2044708,1362845
มาเลเซีย,2559,2069287,1436912
มาเลเซีย,2560,2420621,1072491
มาเลเซีย,2561,2852853,1190145
มาเลเซีย,2562,3088709,1185749
มาเลเซีย,2563,448548,164374
ลาว,2554,837420,57939
ลาว,2555,877707,103374
ลาว,2556,852174,132712
ลาว,2557,974772,88964
ลาว,2558,1005843,224678
ลาว,2559,1104584,310332
ลาว,2560,1597448,95418
ลาว,2561,1583664,98640
ลาว,2562,1785439,71323
ลาว,2563,367725,14521
สิงคโปร์,2554,684275,105064
สิงคโปร์,2555,858664,135967
สิงคโปร์,2556,892788,174498
สิงคโปร์,2557,791110,169354
สิงคโปร์,2558,837720,237035
สิงคโปร์,2559,983899,179410
สิงคโปร์,2560,1119164,140359
สิงคโปร์,2561,1058340,109772
สิงคโปร์,2562,1046324,103700
สิงคโปร์,2563,123682,8829
อินโดนีเซีย,2554,215350,155331
อินโดนีเซีย,2555,265695,183665
อินโดนีเซีย,2556,357702,237313
อินโดนีเซีย,2557,314123,181539
อินโดนีเซีย,2558,287971,182849
อินโดนีเซีย,2559,333510,224989
อินโดนีเซีย,2560,359535,234525
อินโดนีเซีย,2561,399284,245195
อินโดนีเซีย,2562,442060,264848
อินโดนีเซีย,2563,63574,33419
เวียดนาม,2554,312972,201829
เวียดนาม,2555,357380,279967
เวียดนาม,2556,433973,306715
เวียดนาม,2557,380103,193081
เวียดนาม,2558,465427,302216
เวียดนาม,2559,522540,341267
เวียดนาม,2560,615932,369763
เวียดนาม,2561,658674,395049
เวียดนาม,2562,718636,361973
เวียดนาม,2563,95654,35654
