ประเทศ,ปี,ชาย,หญิง
กัมพูชา,2554,159429,111836
กัมพูชา,2555,236286,194252
กัมพูชา,2556,265753,221248
กัมพูชา,2557,285305,270547
กัมพูชา,2558,263202,281616
กัมพูชา,2559,254460,430376
กัมพูชา,2560,389392,462487
กัมพูชา,2561,434693,516287
กัมพูชา,2562,418747,506690
กัมพูชา,2563,73303,90967
บรูไนดารุสซาลาม,2554,6208,3934
บรูไนดารุสซาลาม,2555,8275,5044
บรูไนดารุสซาลาม,2556,9203,6978
บรูไนดารุสซาลาม,2557,8464,5463
บรูไนดารุสซาลาม,2558,9807,7626
บรูไนดารุสซาลาม,2559,9225,8769
บรูไนดารุสซาลาม,2560,9411,8838
บรูไนดารุสซาลาม,2561,8663,9797
บรูไนดารุสซาลาม,2562,10070,9788
บรูไนดารุสซาลาม,2563,1407,1037
พม่า,2554,69087,42458
พม่า,2555,79305,50409
พม่า,2556,106496,66776
พม่า,2557,122584,85165
พม่า,2558,132604,130818
พม่า,2559,157706,206165
พม่า,2560,169861,217861
พม่า,2561,163166,216714
พม่า,2562,171461,217840
พม่า,2563,25990,28951
ฟิลิปปินส์,2554,131128,131711
ฟิลิปปินส์,2555,141885,138700
ฟิลิปปินส์,2556,158105,156935
ฟิลิปปินส์,2557,148785,147554
ฟิลิปปินส์,2558,139077,162220
ฟิลิปปินส์,2559,136841,187019
ฟิลิปปินส์,2560,143092,218126
ฟิลิปปินส์,2561,155403,252429
ฟิลิปปินส์,2562,182011,291554
ฟิลิปปินส์,2563,28155,40204
มาเลเซีย,2554,1337763,1154271
มาเลเซีย,2555,1301887,1244185
มาเลเซีย,2556,1481040,1550032
มาเลเซีย,2557,1100172,1503499
มาเลเซีย,2558,1430567,1976986
มาเลเซีย,2559,1369106,2137093
มาเลเซีย,2560,1546499,1946613
มาเลเซีย,2561,1861556,2181442
มาเลเซีย,2562,1910097,2364361
มาเลเซีย,2563,276251,336671
ลาว,2554,511571,383788
ลาว,2555,562376,418705
ลาว,2556,564355,420531
ลาว,2557,653082,410654
ลาว,2558,670901,559620
ลาว,2559,703471,711445
ลาว,2560,777670,915196
ลาว,2561,808692,873612
ลาว,2562,790761,1066001
ลาว,2563,155365,226881
สิงคโปร์,2554,473986,315353
สิงคโปร์,2555,587916,406715
สิงคโปร์,2556,634604,432682
สิงคโปร์,2557,554401,406063
สิงคโปร์,2558,592015,482740
สิงคโปร์,2559,622716,540593
สิงคโปร์,2560,661667,597856
สิงคโปร์,2561,585265,582847
สิงคโปร์,2562,595048,554976
สิงคโปร์,2563,77446,55065
อินโดนีเซีย,2554,203551,167130
อินโดนีเซีย,2555,248202,201158
อินโดนีเซีย,2556,328472,266543
อินโดนีเซีย,2557,266636,229026
อินโดนีเซีย,2558,238360,232460
อินโดนีเซีย,2559,241624,316875
อินโดนีเซีย,2560,256925,337135
อินโดนีเซีย,2561,270279,374200
อินโดนีเซีย,2562,303226,403682
อินโดนีเซีย,2563,44024,52969
เวียดนาม,2554,294416,220385
เวียดนาม,2555,349043,288304
เวียดนาม,2556,417903,322785
เวียดนาม,2557,309166,264018
เวียดนาม,2558,371913,395730
เวียดนาม,2559,373219,490588
เวียดนาม,2560,430998,554697
เวียดนาม,2561,438032,615691
เวียดนาม,2562,465919,614690
เวียดนาม,2563,58765,72543
