ประเทศ,ปี,เดินทางด้วยตัวเอง,เดินทางเป็นกลุ่ม
กัมพูชา,2554,253035,18230
กัมพูชา,2555,400382,30156
กัมพูชา,2556,457582,29419
กัมพูชา,2557,526276,29576
กัมพูชา,2558,519841,24977
กัมพูชา,2559,655607,29229
กัมพูชา,2560,801734,50145
กัมพูชา,2561,904216,46764
กัมพูชา,2562,864486,60951
กัมพูชา,2563,154041,10229
บรูไนดารุสซาลาม,2554,9505,637
บรูไนดารุสซาลาม,2555,11859,1460
บรูไนดารุสซาลาม,2556,14543,1638
บรูไนดารุสซาลาม,2557,11791,2136
บรูไนดารุสซาลาม,2558,15394,2039
บรูไนดารุสซาลาม,2559,15648,2346
บรูไนดารุสซาลาม,2560,16216,2033
บรูไนดารุสซาลาม,2561,16377,2083
บรูไนดารุสซาลาม,2562,17355,2503
บรูไนดารุสซาลาม,2563,2059,385
พม่า,2554,98163,13382
พม่า,2555,113021,16693
พม่า,2556,150177,23095
พม่า,2557,185197,22552
พม่า,2558,234602,28820
พม่า,2559,319755,44116
พม่า,2560,341446,46276
พม่า,2561,332857,47023
พม่า,2562,336870,52431
พม่า,2563,44389,10552
ฟิลิปปินส์,2554,209260,53579
ฟิลิปปินส์,2555,216671,63914
ฟิลิปปินส์,2556,238974,76066
ฟิลิปปินส์,2557,228535,67804
ฟิลิปปินส์,2558,240880,60417
ฟิลิปปินส์,2559,249644,74216
ฟิลิปปินส์,2560,283944,77274
ฟิลิปปินส์,2561,323084,84748
ฟิลิปปินส์,2562,377064,96501
ฟิลิปปินส์,2563,51709,16650
มาเลเซีย,2554,1281378,1210656
มาเลเซีย,2555,1232694,1313378
มาเลเซีย,2556,1436088,1594984
มาเลเซีย,2557,1122467,1481204
มาเลเซีย,2558,1653575,1753978
มาเลเซีย,2559,2074309,1431890
มาเลเซีย,2560,2271874,1221238
มาเลเซีย,2561,2702586,1340412
มาเลเซีย,2562,2939046,1335412
มาเลเซีย,2563,452448,160474
ลาว,2554,868592,26767
ลาว,2555,956099,24982
ลาว,2556,958554,26332
ลาว,2557,1029354,34382
ลาว,2558,1187321,43200
ลาว,2559,1380691,34225
ลาว,2560,1636462,56404
ลาว,2561,1626405,55899
ลาว,2562,1795073,61689
ลาว,2563,365752,16494
สิงคโปร์,2554,711954,77385
สิงคโปร์,2555,891051,103580
สิงคโปร์,2556,910198,157088
สิงคโปร์,2557,752516,207948
สิงคโปร์,2558,924784,149971
สิงคโปร์,2559,1004452,158857
สิงคโปร์,2560,1143329,116194
สิงคโปร์,2561,1053671,114441
สิงคโปร์,2562,1019322,130702
สิงคโปร์,2563,122147,10364
อินโดนีเซีย,2554,254030,116651
อินโดนีเซีย,2555,291918,157442
อินโดนีเซีย,2556,397374,197641
อินโดนีเซีย,2557,330861,164801
อินโดนีเซีย,2558,320519,150301
อินโดนีเซีย,2559,373645,184854
อินโดนีเซีย,2560,407094,186966
อินโดนีเซีย,2561,451463,193016
อินโดนีเซีย,2562,498951,207957
อินโดนีเซีย,2563,66756,30237
เวียดนาม,2554,340646,174155
เวียดนาม,2555,401937,235410
เวียดนาม,2556,489732,250956
เวียดนาม,2557,433460,139724
เวียดนาม,2558,534212,233431
เวียดนาม,2559,592975,270832
เวียดนาม,2560,656653,329042
เวียดนาม,2561,707233,346490
เวียดนาม,2562,748067,332542
เวียดนาม,2563,91004,40304
