ประเทศ,ปี,นักเรียนและนักศึกษา,ข้าราชการและเจ้าหน้าที่รัฐวิสาหกิจ,นักบริหารและผู้จัดการ,นักวิชาชีพ,ผู้ปฏิบัติงานด้านการเกษตร,ผู้ปฏิบัติงานธุรกิจและนักธุรกิจการค้า,ผู้ใช้แรงงานและปฏิบัติงานบริการ,แม่บ้าน,ผู้ที่เกษียณอายุ,อื่น_ๆ,ไม่ระบุ
กัมพูชา,2554,32772,7725,27255,69775,6340,62815,43094,19095,2261,133,0
กัมพูชา,2555,51239,12465,55881,80437,20172,92744,73475,41896,2229,0,0
กัมพูชา,2556,84444,13518,57687,83527,27491,94273,76305,47061,2695,0,0
กัมพูชา,2557,95005,17524,63486,92215,30982,118166,76354,58965,3155,0,0
กัมพูชา,2558,86481,20950,58170,79740,31089,116276,84485,63316,4311,0,0
กัมพูชา,2559,55995,4925,35179,44399,164562,48644,170460,155161,5042,211,258
กัมพูชา,2560,127519,8067,60063,89873,123343,74037,240280,111308,17347,31,11
กัมพูชา,2561,144285,7831,33523,80630,99190,110906,351889,92662,30057,3,4
กัมพูชา,2562,160648,10130,54596,106121,44697,149464,311224,50587,37959,0,11
กัมพูชา,2563,24701,797,11856,23999,6293,29404,54413,8471,4333,0,3
บรูไนดารุสซาลาม,2554,528,229,2409,3433,13,1807,1018,585,103,17,0
บรูไนดารุสซาลาม,2555,1187,420,2707,4319,17,2602,1057,855,155,0,0
บรูไนดารุสซาลาม,2556,2411,265,2965,5399,10,2630,938,1310,253,0,0
บรูไนดารุสซาลาม,2557,1702,491,2872,4846,10,2154,763,884,205,0,0
บรูไนดารุสซาลาม,2558,1783,898,4135,5493,52,3152,918,788,214,0,0
บรูไนดารุสซาลาม,2559,3994,797,2369,4108,24,2643,2247,1108,665,30,9
บรูไนดารุสซาลาม,2560,4393,655,1737,4281,14,2238,2958,1061,909,3,0
บรูไนดารุสซาลาม,2561,3263,433,1978,4721,7,2137,4116,1019,777,4,5
บรูไนดารุสซาลาม,2562,4054,674,2770,4060,15,2255,4112,910,992,0,16
บรูไนดารุสซาลาม,2563,389,65,335,531,3,269,603,82,165,0,2
พม่า,2554,16501,292,15039,34074,728,33679,5525,4633,1002,72,0
พม่า,2555,20179,309,16826,37066,1342,41418,6826,5015,581,152,0
พม่า,2556,30622,539,25503,51761,1716,45694,9750,6263,1399,25,0
พม่า,2557,36189,404,26891,64336,2270,55746,10316,8577,3020,0,0
พม่า,2558,46586,948,36864,79675,1961,69908,11603,12781,3096,0,0
พม่า,2559,83845,1334,26766,66201,3837,95023,64827,9983,9544,2059,452
พม่า,2560,84493,2253,30530,78246,2255,89662,81955,8216,9989,112,11
พม่า,2561,78684,771,28698,71973,1537,82233,96833,8429,10692,24,6
พม่า,2562,79330,892,36525,70136,1542,82280,93666,8148,16754,0,28
พม่า,2563,8554,71,6045,10067,173,9239,17427,747,2609,6,3
ฟิลิปปินส์,2554,17305,1215,36886,81493,2749,52311,53496,14345,2951,88,0
ฟิลิปปินส์,2555,21907,1196,38201,77420,2952,62982,54659,17843,3330,95,0
ฟิลิปปินส์,2556,25510,1524,44910,96368,1251,61449,65080,15434,3493,21,0
ฟิลิปปินส์,2557,24011,1897,56071,105324,1643,48095,40646,14646,4006,0,0
ฟิลิปปินส์,2558,27078,2221,56671,96396,2291,50815,44485,18738,2602,0,0
ฟิลิปปินส์,2559,34365,1942,54239,96372,1300,46483,60946,17321,9850,605,437
ฟิลิปปินส์,2560,42071,2840,43081,100574,1343,52428,88097,16152,14582,35,15
ฟิลิปปินส์,2561,40703,2216,44334,103353,873,55836,126736,16679,17070,17,15
ฟิลิปปินส์,2562,52207,2410,63198,119807,1348,63953,130708,20344,19583,1,6
ฟิลิปปินส์,2563,5378,214,10283,17602,285,8796,20162,2694,2945,0,0
มาเลเซีย,2554,399371,3604,580731,591443,4786,341616,216327,315752,38326,78,0
มาเลเซีย,2555,337212,4409,595879,619003,2548,370368,249421,341569,25302,361,0
มาเลเซีย,2556,282196,1809,740121,859489,1089,375600,303959,446733,19841,235,0
มาเลเซีย,2557,185627,1493,655696,710298,934,316772,253988,465687,13134,42,0
มาเลเซีย,2558,357845,2803,756955,851994,1692,382929,382379,657480,13436,40,0
มาเลเซีย,2559,555710,3774,760776,801661,1011,331745,443795,579716,25908,1923,180
มาเลเซีย,2560,638526,3811,709015,714076,4323,400192,435613,537810,49612,134,0
มาเลเซีย,2561,659993,4525,821308,815311,3068,493103,539539,634217,71792,134,8
มาเลเซีย,2562,657121,4343,879875,920714,9398,551482,575800,614543,61062,91,29
