ประเทศ,ปี,รายได้_ล้านบาท
กัมพูชา,2554,8078.09
กัมพูชา,2555,13996.11
กัมพูชา,2556,15548.22
กัมพูชา,2557,17879.98
กัมพูชา,2558,16020.84
กัมพูชา,2559,21586.14
กัมพูชา,2560,31205.17
กัมพูชา,2561,36712.66
กัมพูชา,2562,39277.88
กัมพูชา,2563,10023.97
กัมพูชา,2564,929.78
บรูไนดารุสซาลาม,2554,278.53
บรูไนดารุสซาลาม,2555,396.6
บรูไนดารุสซาลาม,2556,530.43
บรูไนดารุสซาลาม,2557,514.93
บรูไนดารุสซาลาม,2558,702.07
บรูไนดารุสซาลาม,2559,864.68
บรูไนดารุสซาลาม,2560,904.77
บรูไนดารุสซาลาม,2561,845.23
บรูไนดารุสซาลาม,2562,945.13
บรูไนดารุสซาลาม,2563,167.04
บรูไนดารุสซาลาม,2564,10.45
พม่า,2554,3371.29
พม่า,2555,4593.52
พม่า,2556,6299.07
พม่า,2557,8089.67
พม่า,2558,10880.33
พม่า,2559,15023.3
พม่า,2560,16462.05
พม่า,2561,15234.09
พม่า,2562,15106.83
พม่า,2563,2630.88
พม่า,2564,1732.03
ฟิลิปปินส์,2554,8808.45
ฟิลิปปินส์,2555,10019.46
ฟิลิปปินส์,2556,11781.73
ฟิลิปปินส์,2557,10950.35
ฟิลิปปินส์,2558,11736.47
ฟิลิปปินส์,2559,11929.19
ฟิลิปปินส์,2560,13301.43
ฟิลิปปินส์,2561,16583.04
ฟิลิปปินส์,2562,19820.08
ฟิลิปปินส์,2563,5870.39
ฟิลิปปินส์,2564,1813.04
มาเลเซีย,2554,49794.77
มาเลเซีย,2555,55359.78
มาเลเซีย,2556,70068.56
มาเลเซีย,2557,61041.8
มาเลเซีย,2558,86254.7
มาเลเซีย,2559,89379.87
มาเลเซีย,2560,95410.08
มาเลเซีย,2561,104525.81
มาเลเซีย,2562,107457.97
มาเลเซีย,2563,17492.99
มาเลเซีย,2564,976.93
ลาว,2554,17178.26
ลาว,2555,20288.32
ลาว,2556,21429.28
ลาว,2557,23726.19
ลาว,2558,30403.81
ลาว,2559,37506.33
ลาว,2560,50135.28
ลาว,2561,50339.81
ลาว,2562,58035.54
ลาว,2563,13435.61
ลาว,2564,205.37
สิงคโปร์,2554,20879.25
สิงคโปร์,2555,27864.22
สิงคโปร์,2556,31060.79
สิงคโปร์,2557,29136.08
สิงคโปร์,2558,36932.09
สิงคโปร์,2559,40042.58
สิงคโปร์,2560,43482.36
สิงคโปร์,2561,42146.13
สิงคโปร์,2562,43678.41
สิงคโปร์,2563,4442.34
สิงคโปร์,2564,738.3
อินโดนีเซีย,2554,9974.68
อินโดนีเซีย,2555,13181.38
อินโดนีเซีย,2556,17584.49
อินโดนีเซีย,2557,14613.1
อินโดนีเซีย,2558,14087.46
อินโดนีเซีย,2559,16891.04
อินโดนีเซีย,2560,18489.23
อินโดนีเซีย,2561,17368.72
อินโดนีเซีย,2562,18333.62
อินโดนีเซีย,2563,2644.01
อินโดนีเซีย,2564,904.26
เวียดนาม,2554,12545.47
เวียดนาม,2555,17772.11
เวียดนาม,2556,21554.43
เวียดนาม,2557,17454.74
เวียดนาม,2558,23984.54
เวียดนาม,2559,26803.88
เวียดนาม,2560,29654.77
เวียดนาม,2561,35061.42
เวียดนาม,2562,39715.18
เวียดนาม,2563,6468.89
เวียดนาม,2564,571.37
