ประเทศ,ปี,พำนักเฉลี่ย_วัน
กัมพูชา,2554,7.84
กัมพูชา,2555,8.33
กัมพูชา,2556,8.01
กัมพูชา,2557,7.6
กัมพูชา,2558,6.45
กัมพูชา,2559,6.41
กัมพูชา,2560,6.69
กัมพูชา,2561,6.81
กัมพูชา,2562,7.39
กัมพูชา,2563,9.43
กัมพูชา,2564,7.93
กัมพูชา,2565,6.42
บรูไนดารุสซาลาม,2554,5.8
บรูไนดารุสซาลาม,2555,6.05
บรูไนดารุสซาลาม,2556,6.24
บรูไนดารุสซาลาม,2557,6.47
บรูไนดารุสซาลาม,2558,6.92
บรูไนดารุสซาลาม,2559,7.53
บรูไนดารุสซาลาม,2560,7.42
บรูไนดารุสซาลาม,2561,6.67
บรูไนดารุสซาลาม,2562,7.06
บรูไนดารุสซาลาม,2563,10.02
บรูไนดารุสซาลาม,2564,8.8
บรูไนดารุสซาลาม,2565,7.57
พม่า,2554,7.68
พม่า,2555,8.4
พม่า,2556,8.32
พม่า,2557,8.26
พม่า,2558,8.28
พม่า,2559,7.73
พม่า,2560,7.43
พม่า,2561,6.71
พม่า,2562,6.73
พม่า,2563,13.35
พม่า,2564,11.55
พม่า,2565,9.74
ฟิลิปปินส์,2554,7.8
ฟิลิปปินส์,2555,8.03
ฟิลิปปินส์,2556,8.08
ฟิลิปปินส์,2557,7.77
ฟิลิปปินส์,2558,7.94
ฟิลิปปินส์,2559,7.34
ฟิลิปปินส์,2560,7.33
ฟิลิปปินส์,2561,8.01
ฟิลิปปินส์,2562,8.74
ฟิลิปปินส์,2563,18.49
ฟิลิปปินส์,2564,15.26
ฟิลิปปินส์,2565,12.03
มาเลเซีย,2554,4.78
มาเลเซีย,2555,4.9
มาเลเซีย,2556,4.88
มาเลเซีย,2557,4.64
มาเลเซีย,2558,4.83
มาเลเซีย,2559,4.76
มาเลเซีย,2560,4.96
มาเลเซีย,2561,4.84
มาเลเซีย,2562,4.81
มาเลเซีย,2563,8.15
มาเลเซีย,2564,6.13
มาเลเซีย,2565,4.11
ลาว,2554,6.17
ลาว,2555,6.27
ลาว,2556,6.13
ลาว,2557,5.74
ลาว,2558,5.79
ลาว,2559,5.69
ลาว,2560,5.69
ลาว,2561,5.56
ลาว,2562,5.68
ลาว,2563,8.02
ลาว,2564,9.24
ลาว,2565,10.45
สิงคโปร์,2554,5.39
สิงคโปร์,2555,5.49
สิงคโปร์,2556,5.4
สิงคโปร์,2557,5.23
สิงคโปร์,2558,5.6
สิงคโปร์,2559,5.47
สิงคโปร์,2560,5.4
สิงคโปร์,2561,5.67
สิงคโปร์,2562,6.14
สิงคโปร์,2563,6.83
สิงคโปร์,2564,6.76
สิงคโปร์,2565,6.68
อินโดนีเซีย,2554,5.98
อินโดนีเซีย,2555,6.2
อินโดนีเซีย,2556,6
อินโดนีเซีย,2557,5.73
อินโดนีเซีย,2558,5.66
อินโดนีเซีย,2559,5.77
อินโดนีเซีย,2560,6.03
อินโดนีเซีย,2561,5.69
อินโดนีเซีย,2562,5.68
อินโดนีเซีย,2563,6.81
อินโดนีเซีย,2564,7.09
อินโดนีเซีย,2565,7.37
เวียดนาม,2554,6.04
เวียดนาม,2555,6.57
เวียดนาม,2556,6.56
เวียดนาม,2557,6.36
เวียดนาม,2558,6.22
เวียดนาม,2559,5.98
เวียดนาม,2560,5.78
เวียดนาม,2561,6.54
เวียดนาม,2562,7.59
เวียดนาม,2563,11.53
เวียดนาม,2564,9.69
เวียดนาม,2565,7.85
