ประเทศ,ปี,"20,001_-_60,000_ดอลลาร์สหรัฐ","น้อยกว่า_20,000_ดอลลาร์สหรัฐ","มากกว่า_60,000_ดอลลาร์สหรัฐ",ไม่มีรายได้
กัมพูชา,2562,302803,510992,46333,65309
กัมพูชา,2563,36763,104516,6900,16091
บรูไนดารุสซาลาม,2562,8941,6214,1818,2885
บรูไนดารุสซาลาม,2563,945,972,278,249
พม่า,2562,249061,82265,24798,33177
พม่า,2563,29479,14880,5309,5273
ฟิลิปปินส์,2562,239818,168407,31419,33921
ฟิลิปปินส์,2563,33434,25261,5192,4472
มาเลเซีย,2562,1400460,2370705,242957,260336
มาเลเซีย,2563,223105,319752,29341,40724
ลาว,2562,366195,1318062,57258,115247
ลาว,2563,55997,300470,10755,15024
สิงคโปร์,2562,554635,253067,187673,154649
สิงคโปร์,2563,66862,29100,24055,12494
อินโดนีเซีย,2562,325477,265826,46129,69476
อินโดนีเซีย,2563,42447,37467,7767,9312
เวียดนาม,2562,447069,521061,48833,63646
เวียดนาม,2563,46885,64566,9489,10368
