ประเทศ,ปี,ทางน้ำ,ทางบก,ทางอากาศ
กัมพูชา,2554,17259,213917,34727
กัมพูชา,2555,28909,342419,52314
กัมพูชา,2556,30091,381422,70082
กัมพูชา,2557,33102,435318,81919
กัมพูชา,2558,39531,378561,126726
กัมพูชา,2559,39726,472226,163023
กัมพูชา,2560,65360,551372,224139
กัมพูชา,2561,75797,611210,261344
กัมพูชา,2562,5358,579326,326001
กัมพูชา,2563,101133,11560,52334
บรูไนดารุสซาลาม,2554,63,758,6650
บรูไนดารุสซาลาม,2555,105,683,9671
บรูไนดารุสซาลาม,2556,199,928,13078
บรูไนดารุสซาลาม,2557,30,776,10479
บรูไนดารุสซาลาม,2558,66,836,16531
บรูไนดารุสซาลาม,2559,41,696,13286
บรูไนดารุสซาลาม,2560,42,707,13519
บรูไนดารุสซาลาม,2561,49,578,13605
บรูไนดารุสซาลาม,2562,54,889,14665
บรูไนดารุสซาลาม,2563,120,17,1612
พม่า,2554,915,901,108855
พม่า,2555,322,939,128124
พม่า,2556,779,1211,170393
พม่า,2557,7280,1473,198041
พม่า,2558,306,4977,258139
พม่า,2559,380,6663,334583
พม่า,2560,305,6617,358684
พม่า,2561,516,6925,360718
พม่า,2562,188,7749,370295
พม่า,2563,464,23,54792
ฟิลิปปินส์,2554,32757,44086,191532
ฟิลิปปินส์,2555,9429,54738,225399
ฟิลิปปินส์,2556,10907,54296,256368
ฟิลิปปินส์,2557,27952,53922,222939
ฟิลิปปินส์,2558,2578,54312,244407
ฟิลิปปินส์,2559,2111,58073,278966
ฟิลิปปินส์,2560,1928,43606,335718
ฟิลิปปินส์,2561,1482,45016,385555
ฟิลิปปินส์,2562,1704,44754,459848
ฟิลิปปินส์,2563,3888,227,68647
มาเลเซีย,2554,92329,1761904,646047
มาเลเซีย,2555,98692,1703552,752153
มาเลเซีย,2556,110434,1983443,947220
มาเลเซีย,2557,72734,1658342,882342
มาเลเซีย,2558,102849,2204570,1100134
มาเลเซีย,2559,83286,2233907,1177697
มาเลเซีย,2560,71554,2142882,1280052
มาเลเซีย,2561,82465,2591815,1357859
มาเลเซีย,2562,91324,2825754,1355506
มาเลเซีย,2563,420769,13665,185189
ลาว,2554,45335,826401,20214
ลาว,2555,61030,883325,31644
ลาว,2556,83154,853301,40184
ลาว,2557,86185,933566,34232
ลาว,2558,104850,1085328,40343
ลาว,2559,134869,1204923,48228
ลาว,2560,161022,1465897,55168
ลาว,2561,162200,1440243,62013
ลาว,2562,161436,1621183,72100
ลาว,2563,338284,29063,12860
สิงคโปร์,2554,37204,50516,594644
สิงคโปร์,2555,32987,45194,753034
สิงคโปร์,2556,49878,49423,856167
สิงคโปร์,2557,8155,41496,794482
สิงคโปร์,2558,2739,43002,1029014
สิงคโปร์,2559,1930,37543,928077
สิงคโปร์,2560,3117,30965,998565
สิงคโปร์,2561,3392,24882,1037945
สิงคโปร์,2562,2584,28506,1025492
สิงคโปร์,2563,3452,547,122772
อินโดนีเซีย,2554,24504,78658,267633
อินโดนีเซีย,2555,17608,84195,346017
อินโดนีเซีย,2556,18100,97236,478915
อินโดนีเซีย,2557,19224,90078,388290
อินโดนีเซีย,2558,3994,83459,383367
อินโดนีเซีย,2559,1780,82590,450427
อินโดนีเซีย,2560,1770,64791,509549
อินโดนีเซีย,2561,3045,70923,569450
อินโดนีเซีย,2562,1681,92948,614949
อินโดนีเซีย,2563,13088,396,86046
เวียดนาม,2554,33663,227626,235479
เวียดนาม,2555,40507,262232,315931
เวียดนาม,2556,90744,268715,365598
เวียดนาม,2557,66309,226321,266785
เวียดนาม,2558,48688,231782,487173
เวียดนาม,2559,48610,219252,562358
เวียดนาม,2560,46652,201228,687299
เวียดนาม,2561,44654,197572,785034
เวียดนาม,2562,39767,186800,821096
เวียดนาม,2563,21835,6638,103654
